ticker_id,Max Slots,L-14.6,L-23.6,L-38.2,L-50.0,L-61.8,Slots L-14.6,Slots L-23.6,Slots L-38.2,Slots L-50.0,Slots L-61.8,Use Smrt Index Exit,Exit Level,Use AYM,AYM TP Multiplier,AYM Limit,Use ATR,ATR Distance,Use Stoploss,Stoploss Level,Sys ROI,B&H ROI,ROI Margin,# of Trades,Win Rate,Max Drawdown,Avg. Adverse Excursion,Avg. Favorable Excursion,Annual CAGR,Avg. Return/Trade,Avg Bars/Trade,Model,OOS Margin,OOS Win Rate,OOS Trades
SMPP,1,True,False,False,False,True,1.0,,,,1.0,False,,True,3.0,88.6,False,,False,,-49.54,5430.95,-5480.49,1,0.00,77.63,-10.0,20.0,35.0,10.0,75.0,PSI-40,190.089,100,2
SNFC,1,True,False,False,False,True,1.0,,,,1.0,False,,True,4.0,78.6,True,6.0,False,,22440.03,6194.21,16245.81,12,100.00,80.33,-10.0,20.0,35.0,10.0,342.1,PSI-40,10.302333333333351,100,2
SNFI,1,False,True,True,True,False,,1.0,1.0,1.0,,False,,True,3.0,88.6,True,5.0,False,,411.17,-57.69,468.87,9,100.00,85.62,-10.0,20.0,35.0,10.0,107.8,PSI-40,45.335000000000036,100,2
SPHT,1,False,False,True,False,False,,,1.0,,,False,,True,2.0,50,True,2.0,False,,0.06,-15.21,15.28,2,100.00,19.99,-10.0,20.0,35.0,10.0,235.0,PSI-40,2.0048573953888367,0,1
SPIN,1,False,True,False,False,False,,1.0,,,,False,,True,3.0,88.6,False,,False,,489.84,756.45,-266.61,3,100.00,87.78,-10.0,20.0,35.0,10.0,1509.7,PSI-40,3.56255374653864,100,2
SPMD,1,False,True,False,True,False,,1.0,,1.0,,False,,True,2.0,88.6,True,3.0,False,,19.88,103.44,-83.56,10,100.00,90.72,-10.0,20.0,35.0,10.0,130.3,PSI-40,22.067830532212874,100,5
SUCE,1,True,False,False,False,False,1.0,,,,,False,,True,2.0,78.6,True,6.0,False,,44.91,80.00,-35.09,4,100.00,38.73,-10.0,20.0,35.0,10.0,33.8,PSI-40,91.5691428571429,100,3
SUGR,1,True,False,True,True,False,1.0,,1.0,1.0,,False,,True,2.0,50,True,2.0,False,,124.64,320.22,-195.58,11,100.00,84.77,-10.0,20.0,35.0,10.0,405.4,PSI-40,31.384015452538538,100,11
SVCE,1,True,False,False,False,True,1.0,,,,1.0,False,,True,3.0,88.6,True,4.0,False,,168.32,144.33,23.99,8,100.00,97.93,-10.0,20.0,35.0,10.0,562.5,PSI-40,98.1844051835206,100,6
SWDY,1,False,True,False,False,False,,1.0,,,,False,,True,2.0,78.6,True,3.0,False,,964.34,3182.77,-2218.43,13,100.00,80.24,-10.0,20.0,35.0,10.0,310.0,PSI-40,3.813316017315991,100,4
TALM,1,True,True,True,False,False,1.0,1.0,1.0,,,False,,True,2.0,88.6,True,4.0,False,,60.59,913.00,-852.41,4,100.00,54.03,-10.0,20.0,35.0,10.0,213.0,PSI-40,28.788881773398998,100,4
TANM,1,False,True,False,False,False,,1.0,,,,False,,True,2.0,78.6,True,6.0,False,,21.36,15.99,5.37,2,100.00,69.90,-10.0,20.0,35.0,10.0,423.0,PSI-40,46.629622285174676,100,2
TAQA,1,True,True,True,True,False,1.0,1.0,1.0,1.0,,False,,True,2.0,50,True,2.0,False,,48.26,-40.90,89.16,5,100.00,52.40,-10.0,20.0,35.0,10.0,66.4,PSI-40,32.60287120590651,100,12
TMGH,1,True,False,False,True,False,1.0,,,1.0,,False,,True,5.0,88.6,True,5.0,False,,458.89,474.00,-15.11,2,100.00,81.97,-10.0,20.0,35.0,10.0,2041.0,PSI-40,39.000425339366515,100,3
TORA,1,True,False,False,False,False,1.0,,,,,False,,True,2.0,88.6,True,2.0,False,,87.53,838.34,-750.81,3,100.00,25.45,-10.0,20.0,35.0,10.0,17.0,PSI-40,28.02029401796303,100,2
TRTO,1,True,False,True,False,False,1.0,,1.0,,,False,,True,12.0,88.6,True,3.0,False,,621.52,-69.92,691.44,10,100.00,94.82,-10.0,20.0,35.0,10.0,357.7,PSI-40,0.00003684210527410414,0,1
TYCN,1,True,False,False,False,False,1.0,,,,,False,,True,10.0,88.6,False,,False,,30.20,321.59,-291.39,1,0.00,85.97,-10.0,20.0,35.0,10.0,3111.0,PSI-40,1034.3115565945027,100,3
UEFM,1,True,False,False,False,False,1.0,,,,,False,,True,9.0,88.6,True,4.0,False,,679.87,1078.18,-398.31,8,100.00,62.26,-10.0,20.0,35.0,10.0,480.0,PSI-40,135.5723915343916,100,4
UEGC,1,False,True,False,False,False,,1.0,,,,False,,True,3.0,88.6,False,,False,,371.60,6147.48,-5775.88,4,100.00,83.43,-10.0,20.0,35.0,10.0,1091.0,PSI-40,80.0237002267574,100,2
UNIP,1,True,True,False,False,False,1.0,1.0,,,,False,,True,10.0,88.6,True,4.0,False,,5274.60,5934.22,-659.62,11,100.00,88.12,-10.0,20.0,35.0,10.0,376.0,PSI-40,113.42190724967386,100,2
UNIT,1,True,True,False,False,True,1.0,1.0,,,1.0,False,,True,2.0,88.6,True,5.0,False,,811.93,658.83,153.10,10,100.00,77.90,-10.0,20.0,35.0,10.0,455.6,PSI-40,100.02658536585369,100,4
UPMS,1,False,True,False,False,False,,1.0,,,,False,,True,3.0,88.6,True,4.0,False,,0.94,187.00,-186.06,2,100.00,80.07,-10.0,20.0,35.0,10.0,792.5,PSI-40,227.8010952380953,100,3
UTOP,1,False,True,False,False,False,,1.0,,,,False,,True,2.0,88.6,True,4.0,False,,702.81,-42.29,745.10,11,100.00,60.06,-10.0,20.0,35.0,10.0,234.7,PSI-40,352.7730370128457,100,2
VERT,1,False,False,True,False,False,,,1.0,,,False,,True,2.0,88.6,True,2.0,False,,39.60,134.59,-94.99,1,100.00,87.89,-10.0,20.0,35.0,10.0,2284.0,PSI-40,228.25444600938988,100,7
VLMR,1,True,True,False,False,False,1.0,1.0,,,,False,,True,9.0,88.6,True,5.0,False,,64.42,-6.25,70.68,3,100.00,89.31,-10.0,20.0,35.0,10.0,1527.0,PSI-40,4.715144798443837,0,1
VLMRA,1,True,False,False,False,False,1.0,,,,,False,,True,2.0,50,True,3.0,False,,-15.84,70.15,-85.99,4,100.00,39.84,-10.0,20.0,35.0,10.0,84.5,PSI-40,12.830501461887053,100,3
WATP,1,False,False,True,False,False,,,1.0,,,False,,True,3.0,78.6,False,,False,,513.63,1100.00,-586.37,1,100.00,25.09,-10.0,20.0,35.0,10.0,30.0,PSI-40,-10.597428571428566,100,2
WCDF,1,True,False,False,False,False,1.0,,,,,False,,True,4.0,88.6,False,,False,,432.90,1254.01,-821.11,3,100.00,60.50,-10.0,20.0,35.0,10.0,1289.0,PSI-40,46.85553417455313,100,2
WKOL,1,False,True,False,True,True,,1.0,,1.0,1.0,False,,True,2.0,88.6,True,4.0,False,,310.53,103.54,206.99,6,100.00,90.76,-10.0,20.0,35.0,10.0,551.7,PSI-40,116.35563369963373,100,8
ZEOT,1,False,True,False,False,False,,1.0,,,,False,,True,5.0,88.6,False,,False,,221.36,463.00,-241.64,2,100.00,90.83,-10.0,20.0,35.0,10.0,2275.0,PSI-40,95.30702308402584,100,2
ZMID,1,True,False,False,True,False,1.0,,,1.0,,False,,True,5.0,88.6,True,5.0,False,,268.56,744.72,-476.15,8,100.00,85.64,-10.0,20.0,35.0,10.0,490.0,PSI-40,54.132698795180744,100,3
GC1!,1,False,True,True,True,False,,1.0,1.0,1.0,,False,,True,2.0,50,True,2.0,False,,584.13,859.91,-275.78,70,100.00,42.33,-10.0,20.0,35.0,10.0,79.0,PSI-40,7.232783189515189,100,13
GOLD,1,False,True,True,True,False,,1.0,1.0,1.0,,False,,True,2.0,50,True,2.0,False,,584.13,859.91,-275.78,70,100.00,42.33,-10.0,20.0,35.0,10.0,79.0,PSI-40,7.232783189515189,100,13
SI1!,1,True,True,True,True,False,1.0,1.0,1.0,1.0,,False,,True,7.0,88.6,True,5.0,False,,583.49,487.02,96.47,19,100.00,71.51,-10.0,20.0,35.0,10.0,319.1,PSI-40,142.409969628055,100,4
SILVER,1,True,True,True,True,False,1.0,1.0,1.0,1.0,,False,,True,7.0,88.6,True,5.0,False,,583.49,487.02,96.47,19,100.00,71.51,-10.0,20.0,35.0,10.0,319.1,PSI-40,142.409969628055,100,4
