ticker_id,Max Slots,L-14.6,L-23.6,L-38.2,L-50.0,L-61.8,Slots L-14.6,Slots L-23.6,Slots L-38.2,Slots L-50.0,Slots L-61.8,Use Smrt Index Exit,Exit Level,Use AYM,AYM TP Multiplier,AYM Limit,Use ATR,ATR Distance,Use Stoploss,Stoploss Level,Sys ROI,B&H ROI,ROI Margin,# of Trades,Win Rate,Max Drawdown,Avg. Adverse Excursion,Avg. Favorable Excursion,Annual CAGR,Avg. Return/Trade,Avg Bars/Trade,Model,OOS Margin,OOS Win Rate,OOS Trades
AALR,1,True,False,False,False,False,1.0,,,,,False,,True,3.0,88.6,True,2.0,False,,819.78,37.44,782.34,12,100.00,87.76,-10.0,20.0,35.0,10.0,266.5,PSI-8,-379.1515780113177,100,4
ABUK,1,False,False,False,False,True,,,,,1.0,False,,True,2.0,88.6,False,,False,,1758.60,1233.56,525.04,5,100.00,66.27,-10.0,20.0,35.0,10.0,822.0,PSI-8,-4.8847397918334465,0,1
ACAMD,1,False,False,False,False,True,,,,,1.0,False,,True,3.0,88.6,True,6.0,False,,450.68,69.66,381.02,5,100.00,64.12,-10.0,20.0,35.0,10.0,229.2,PSI-8,-36.40375143487857,100,3
ACAP,1,False,True,False,False,True,,1.0,,,1.0,False,,True,2.0,88.6,True,5.0,False,,112.86,831.90,-719.04,2,100.00,15.59,-10.0,20.0,35.0,10.0,78.5,PSI-8,-151.6383946360154,100,5
ACGC,1,False,False,False,False,True,,,,,1.0,False,,True,2.0,50,True,2.0,False,,179.86,40.56,139.30,14,100.00,81.52,-10.0,20.0,35.0,10.0,282.3,PSI-8,-11.03728748451055,100,7
ADCI,1,False,False,True,False,False,,,1.0,,,False,,True,2.0,50,True,2.0,False,,2796.75,871.01,1925.74,30,100.00,75.20,-10.0,20.0,35.0,10.0,115.8,PSI-8,-314.11340622813145,100,3
ADIB,1,True,False,False,False,True,1.0,,,,1.0,False,,True,9.0,88.6,True,6.0,False,,4287.83,1167.91,3119.93,8,100.00,80.99,-10.0,20.0,35.0,10.0,541.0,PSI-8,11.995773145524112,100,3
ADPC,1,False,False,False,False,True,,,,,1.0,False,,True,2.0,88.6,True,5.0,False,,1228.93,37.37,1191.56,11,100.00,57.50,-10.0,20.0,35.0,10.0,228.5,PSI-8,-18.266506329113923,100,4
ADRI,1,False,False,False,False,True,,,,,1.0,False,,True,2.0,50,True,2.0,False,,745.04,-10.22,755.27,19,100.00,71.22,-10.0,20.0,35.0,10.0,82.6,PSI-8,-373.2588904109589,100,5
AFDI,1,False,False,False,False,True,,,,,1.0,False,,True,8.0,88.6,True,5.0,False,,336.24,66.12,270.11,4,100.00,92.04,-10.0,20.0,35.0,10.0,1068.3,PSI-8,-16.7599248028435,100,3
AFMC,1,False,False,False,False,True,,,,,1.0,False,,True,5.0,88.6,False,,False,,4678.61,1195.37,3483.24,3,100.00,90.21,-10.0,20.0,35.0,10.0,1402.7,PSI-8,-267.3010777073231,100,1
AIFI,1,False,True,False,False,False,,1.0,,,,False,,True,2.0,88.6,True,2.0,False,,1985.61,1700.37,285.24,16,100.00,73.80,-10.0,20.0,35.0,10.0,141.7,PSI-8,-139.38613854692548,100,3
AIH,1,False,False,False,True,False,,,,1.0,,False,,True,2.0,50,True,2.0,False,,44.43,-63.13,107.57,11,100.00,91.80,-10.0,20.0,35.0,10.0,343.4,PSI-8,90.7170952681262,100,8
AJWA,1,True,False,False,False,False,1.0,,,,,False,,True,9.0,88.6,True,3.0,False,,4379.14,1732.14,2647.00,12,100.00,78.72,-10.0,20.0,35.0,10.0,276.5,PSI-8,-39.36085435511738,100,2
ALCN,1,True,True,False,False,True,1.0,1.0,,,1.0,False,,True,4.0,61.8,True,6.0,False,,34740.44,14528.51,20211.93,16,100.00,88.22,-10.0,20.0,35.0,10.0,271.5,PSI-8,6.585147902869728,100,4
ALEX,1,False,False,True,False,True,,,1.0,,1.0,False,,True,3.0,88.6,False,,False,,159.47,187.23,-27.77,2,100.00,52.19,-10.0,20.0,35.0,10.0,44.5,PSI-8,171.65717948717946,100,2
ALUM,1,True,False,False,False,False,1.0,,,,,False,,True,2.0,78.6,True,5.0,False,,1966.00,1048.30,917.70,12,100.00,78.62,-10.0,20.0,35.0,10.0,302.4,PSI-8,13.263082779009594,100,4
AMER,1,True,True,False,True,False,1.0,1.0,,1.0,,False,,True,2.0,88.6,True,2.0,False,,33.95,-75.74,109.69,7,100.00,92.46,-10.0,20.0,35.0,10.0,445.1,PSI-8,-213.7184385964913,100,6
AMES,1,True,False,False,False,False,1.0,,,,,False,,True,12.0,88.6,True,5.0,False,,5147.92,1354.37,3793.54,9,100.00,69.01,-10.0,20.0,35.0,10.0,322.3,PSI-8,-139.44410797542514,100,4
AMIA,1,False,False,True,True,False,,,1.0,1.0,,False,,True,2.0,78.6,True,4.0,False,,168.69,563.37,-394.68,6,100.00,85.80,-10.0,20.0,35.0,10.0,539.5,PSI-8,-96.90974698795173,100,5
AMII,1,False,False,False,False,True,,,,,1.0,False,,True,2.0,88.6,True,3.0,False,,788.79,549.92,238.88,9,100.00,83.45,-10.0,20.0,35.0,10.0,338.2,PSI-8,-46.285952380952295,100,5
AMOC,1,True,True,True,True,False,1.0,1.0,1.0,1.0,,False,,True,2.0,50,True,2.0,False,,108.40,45.04,63.36,20,100.00,87.00,-10.0,20.0,35.0,10.0,210.5,PSI-8,-15.55741843971633,100,4
AMPI,1,False,False,True,False,False,,,1.0,,,False,,True,4.0,88.6,True,4.0,False,,308.06,-33.00,341.06,2,100.00,90.85,-10.0,20.0,35.0,10.0,1470.5,PSI-8,-7.316610925306584,0,1
APPC,1,True,False,True,False,False,1.0,,1.0,,,False,,True,2.0,88.6,True,4.0,False,,100.01,-35.88,135.89,2,100.00,33.91,-10.0,20.0,35.0,10.0,53.5,PSI-8,-14.795366972477055,100,2
APSW,1,True,False,False,False,False,1.0,,,,,False,,True,2.0,88.6,True,2.0,False,,575.68,-11.77,587.45,11,100.00,74.38,-10.0,20.0,35.0,10.0,365.7,PSI-8,10.694476190476163,100,3
ARAB,1,False,True,False,False,False,,1.0,,,,False,,True,3.0,88.6,True,3.0,False,,365.93,95.69,270.24,7,100.00,84.83,-10.0,20.0,35.0,10.0,270.0,PSI-8,-16.126911216116007,100,1
ARCC,1,True,False,False,False,False,1.0,,,,,False,,True,2.0,50,True,2.0,False,,42.67,750.00,-707.33,6,100.00,83.38,-10.0,20.0,35.0,10.0,369.5,PSI-8,-144.7755877712033,100,6
AREH,1,False,False,False,False,True,,,,,1.0,False,,True,7.0,78.6,True,4.0,False,,12153.35,-9.23,12162.58,7,100.00,86.45,-10.0,20.0,35.0,10.0,483.9,PSI-8,-31.69704084437896,100,4
ASCM,1,True,True,False,False,False,1.0,1.0,,,,False,,True,2.0,50,True,2.0,False,,84.08,8094.08,-8010.00,11,100.00,92.82,-10.0,20.0,35.0,10.0,357.0,PSI-8,-62.42880371660861,100,6
ASPI,1,True,False,False,False,False,1.0,,,,,False,,True,4.0,88.6,True,2.0,False,,14261.27,3645.40,10615.87,16,100.00,77.43,-10.0,20.0,35.0,10.0,211.9,PSI-8,-103.59686599231256,100,6
ATLC,1,False,False,False,True,False,,,,1.0,,False,,True,2.0,50,True,2.0,False,,278.92,-8.83,287.75,12,100.00,51.33,-10.0,20.0,35.0,10.0,94.7,PSI-8,-74.24543683319399,100,3
ATQA,1,True,False,False,False,False,1.0,,,,,False,,True,4.0,88.6,True,3.0,False,,2032.65,4027.99,-1995.35,10,100.00,80.16,-10.0,20.0,35.0,10.0,236.3,PSI-8,-4.626887198986097,100,3
AXPH,1,True,True,False,False,True,1.0,1.0,,,1.0,False,,True,2.0,88.6,True,3.0,False,,3234.20,903.13,2331.08,36,100.00,51.27,-10.0,20.0,35.0,10.0,113.7,PSI-8,-129.81278683385582,100,5
BIDI,1,False,False,False,False,True,,,,,1.0,False,,True,2.0,88.6,True,4.0,False,,-14.98,-65.09,50.11,3,100.00,90.48,-10.0,20.0,35.0,10.0,835.0,PSI-8,-3.4983376623376614,0,1
BIGP,1,True,False,False,False,True,1.0,,,,1.0,False,,True,2.0,50,True,2.0,False,,700.85,-76.77,777.63,13,100.00,74.63,-10.0,20.0,35.0,10.0,216.1,PSI-8,58.09813678160913,100,6
